Unnamed: 0,tweet,tweet_processed
386,Michelle O was clearly referring to life where she pays for her own vacations and doesn't have servants at her beck and call ,michelle o be clearly refer to life where she pay for her own vacation and doesnt have servant at her beck and call
387,"Being a Debbie Downer is a neglected mental disability. The buzz word  is code for lacks resilience, has no faith, fearful.",be a debbie downer be a neglected mental disability the buzz word be code for lack resilience have no faith fearful
388,"Life is a privilege. Don't waste it on the b.s. emotion of . Celebrate life's silver linings, be parent and inspired.",life be a privilege dont waste it on the bs emotion of celebrate life silver lining be parent and inspire
389,If my own mother had used the profane term  or  in our home we would have sued her then removed her from our home.,if my own mother have use the profane term or in our home we would have sue her then remove her from our home
390,exists in places places of lawlessness or dysfunctional governing management,exists in place place of lawlessness or dysfunctional governing management
391,Hopeless Zone Where Privileged Americans Level 04 Are Not Progressing ...   pic.twitter.com/tPhsJPCDdf,hopeless zone where privileged american level be not progress
392,We can never allow degradation of self so low by external events that we as human beings ever give up or give in to feeling .â¦,we can never allow degradation of self so low by external event that we a human being ever give up or give in to feel
393,", that was the eighties ,,wot we hav now is .",that be the eighty wot we hav now be
394,2008 - 2016 has been most uninspiring time in USA history.   run amok. Call it .,have be most uninspiring time in usa history run amok call it
395,End of the Obama Administration.   pic.twitter.com/RZGeOg6xH0,end of the obama administration
396,Reject . Turn off your tv's or media emitting PsyOps sentiment analysis algorithms of hopelessness. Choose ! ???????¼??¯??¼??¼â¦,reject turn off your tv or medium emit psyops sentiment analysis algorithm of hopelessness choose
397,Sentiment analysis algorithms from Democrats and Mrs. Obama are designed to engineer . Reject it in its entirety.,sentiment analysis algorithm from democrat and mrs obama be design to engineer reject it in it entirety
398,No Michelle Obama USA is NOT entering a time of . Actually now that barrack is leaving we have GREAT  for our future! ,no michelle obama usa be not enter a time of actually now that barrack be leave we have great for our future
399,"The Audacity of  Whom are the ""We""  represents? Oh I get it... It's the pecker in the girls potty people??",the audacity of whom be the we represent oh i get it it the pecker in the girl potty people
400,'s  is our . What's yours?,s be our whats yours
401,The reason for things fall apart &  is . The world & including the church have to make Jesus the centre.  pic.twitter.com/CGRJhSkkL5,the reason for thing fall apart be the world include the church have to make jesus the centre
402,Maybe this IT chaebol is future Wang So. ,maybe this it chaebol be future wang so
403,"America, I love you, but you're bringing me down...   ",america i love you but youre bring me down
404,"A day saturated with  and . Brutal. Oh, the human mind. What an enemy.",a day saturate with and brutal oh the human mind what an enemy
405,I can be drowning in homeworks and assignments and I'll still say yes when my friends call me out ?????????   ,i can be drown in homework and assignment and ill still say yes when my friend call me out
406,"Same old story, same old song and dance. ",same old story same old song and dance
407,"If optimism is the ?? to success and if you can achieve a + outlook through positive thinking, there is no excuse for failure. ",if optimism be the to success and if you can achieve a outlook through positive thinking there be no excuse for failure
408,Being deprived of Godâs joy will lead you to addictive carnal pleasure... Looking for Love in all the wrong places...! ,be deprive of god joy will lead you to addictive carnal pleasure look for love in all the wrong place
409,"Riding the metro into , the feeling of  is palpable this morning.",rid the metro into the feeling of be palpable this morning
410,is something I believe hurts more than anything other inner state. Your thoughts?  pic.twitter.com/blA0kFZjnZ,be something i believe hurt more than anything other inner state your thought
411,I wore all black today as metaphor for my state of mind and also for the state of America on this day.   ,i wear all black today a metaphor for my state of mind and also for the state of america on this day
412,So now our Parliament is going to limit the Supreme Court of its powers to save  & Co from  case. ,so now our parliament be go to limit the supreme court of it power to save co from case
413,"Immobilization, isolation, self-blame, feeling overwhelmed, and finding no responsiveness in one's context characterize .",immobilization isolation selfblame feeling overwhelm and find no responsiveness in one context characterize
414,"Everyone is a thief,its just a matter of who is near the money basket.   ",everyone be a thiefits just a matter of who be near the money basket
415,When you will never again give birth to violent men..   pic.twitter.com/pkdPhhlUuZ,when you will never again give birth to violent men
416,I feel like I'm rooting for 'da bears and they're down 42-0. ,i feel like im root for da bear and theyre down 0
417,The new Era f Justice *2night I'm calling n all prayer intercessors&warriors 2pray against tht strong spirit f  fr the Election,the new era f justice 2night im call n all prayer intercessorswarriors pray against tht strong spirit f fr the election
418,Once a flirty always a flirty  .,once a flirty always a flirty
419,"comment: ""I've had tough times but I would never consider ""  this is stigma this is ignorance    ANYONE pic.twitter.com/yjJOgmHM3D",comment ive have tough time but i would never consider this be stigma this be ignorance anyone
420,-The moment you realize that they're still making country music.,the moment you realize that theyre still make country music
421,Anohni's  is the underrated album of the year.,anohnis be the underrated album of the year
422,"Trump wants to make America great again and guest what, he asks obama's Kenyan-born half brother for help  ",trump want to make america great again and guest what he ask obamas kenyanborn half brother for help
423,"No matter how knowledgeable/experienced a woman becomes, there will always be an inexperienced, male moron whom >40% support. ",no matter how knowledgeableexperienced a woman become there will always be an inexperienced male moron whom 40 support
424,"""I'm telling you, the  eats you alive""",im tell you the eats you alive
425,Definition of utter : Using PowerPoint on a .  It's like Microsoft did it on purpose...,definition of utter use powerpoint on a it like microsoft do it on purpose
426,â?Why Did You Separate Me from the Earth? - ANOHNI   ,why do you separate me from the earth anohni
427,â?Violent Men - ANOHNI   ,violent men anohni
428,â?I Don't Love You Anymore - ANOHNI   ,i dont love you anymore anohni
429,â?Watch Me - ANOHNI   ,watch me anohni
430,â?4 Degrees - ANOHNI   ,4 degree anohni
431,â?Drone Bomb Me - ANOHNI   ,drone bomb me anohni
432,I feel depressed when I see Elites taking a piss on all of us then MSM telling us It's raining with a straight face  ,i feel depress when i see elite take a piss on all of u then msm tell u it rain with a straight face
433,Anohni is truely a lighthouse in our modern twisted fog. I highly suggest reading that article + purchasing her LP .,anohni be truely a lighthouse in our modern twist fog i highly suggest read that article purchase her lp
434,When you feel like a stranger in your own environment.   pic.twitter.com/w1sj4IlSUa,when you feel like a stranger in your own environment
435,"""I  a temporary, contract job but I am hoping for permanent"" -  that's heard all too often amongst GenY. ",i a temporary contract job but i be hop for permanent thats hear all too often amongst geny
436,"Reading poetry on the subway is magical. ??¦  Oh, did I mention I'm thinking of you... ???  pic.twitter.com/6lNdaRZiJb",read poetry on the subway be magical oh do i mention im thinking of you
437,you're broken into thousands of tiny pieces and will never be put back together again.  ,youre break into thousand of tiny piece and will never be put back together again
438,"If there is no God, then there is no purpose, it is why the soul is sucked right out of a man, who doesn't know God... ",if there be no god then there be no purpose it be why the soul be suck right out of a man who doesnt know god
439,"If you need hope today, ask God into your heart. Then, take  over the devil and cast  away from you âKenneth Copeland",if you need hope today ask god into your heart then take over the devil and cast away from you kenneth copeland
440,"actually - EACH. AND. EVERY. GODDAMN. SONG. on the album is the strongest, sadest, and most beautiful song ever. <3  ",actually each and every goddamn song on the album be the strong sadest and most beautiful song ever 3
441,If there is serious conversations regarding institutional racism; black on black crime will be better understood..,if there be serious conversation regard institutional racism black on black crime will be well understood
442,Disturbing to see that  is trending. Heaven send the personal sponsors & BFFs to save the dreary day.,disturb to see that be trend heaven send the personal sponsor bffs to save the dreary day
443,Two options remain:  1. Sell this phone 2. Sell myself. ,two option remain sell this phone sell myself
444,"Not the  I know or grew up in. This is, the brutal reality of honest people & honest officials in state.   pic.twitter.com/eZmQpzAOBr",not the i know or grow up in this be the brutal reality of honest people honest official in state
445,We will never again give back to violent men   This was a great song to hear live ????½,we will never again give back to violent men this be a great song to hear live
446,"Human being is a design of expression that despite the  of a situation, regardless of the odds, we still rise in our .",human be be a design of expression that despite the of a situation regardless of the odds we still rise in our
447,"Insights beyond 50: my team is now 0-1. Oh well, there's always next year.   pic.twitter.com/2lei0mHXQk",insight beyond my team be now 1 oh well theres always next year
448,Gosh I needed this to lift me up!  was getting me down  pic.twitter.com/aKXO9rDvom,gosh i need this to lift me up be get me down
449,It is a bit depressing but I cannot wait to explore the rest of the album    pic.twitter.com/U953QJhTfU,it be a bit depress but i cannot wait to explore the rest of the album
450,The only causal factor in  that ties everyone together is an overwhelming feeling of . A kind word can save a life!,the only causal factor in that tie everyone together be an overwhelming feeling of a kind word can save a life
451,"Your  perseveres. Good luck in Mercury Awards, darling @ANOHNItweets   pic.twitter.com/is67imvghq",your perseveres good luck in mercury award darling
452,"""A man's spirit will endure sickness, but a crushed spirit who can bear?""  Proverbs 18:14, ESV   ",a man spirit will endure sickness but a crushed spirit who can bear proverbs 14 esv
453,I'll just say it: the US  has become so corrupt in it's  that there is a deep sense of  in America,ill just say it the u have become so corrupt in it that there be a deep sense of in america
454,So dat i cn hv mah best lyf ever had n my hand & i dn't wnt 2 see myself a  man n future. So i wish me having... Cntd..,so dat i cn hv mah best lyf ever have n my hand i dnt wnt see myself a man n future so i wish me have cntd
455,In need of an ephemeral relief to   ,in need of an ephemeral relief to
456,is more closely associated with  than ,be more closely associate with than
457,"""The Mind may offer you , but the Soul will furnish you with hope, intuitive answers; & solutions""~ Eleesha ?¦  ",the mind may offer you but the soul will furnish you with hope intuitive answer solution eleesha
458,Setback after setback after setback  ,setback after setback after setback
459,Changing name doesn't change services.  hospitals should not spell   and . - Dr. Sanjeev  pic.twitter.com/1ISpCj3cGt,change name doesnt change service hospital should not spell and dr sanjeev
460,"The fourth day you didn't refill your medication because the price was too exorbitant, even with a coupon.   returns",the fourth day you didnt refill your medication because the price be too exorbitant even with a coupon return
461,For those who struggle w/ they need those of us who are . And when the hopeful struggle we need to find our way back...,for those who struggle w they need those of u who be and when the hopeful struggle we need to find our way back
462,"It eluded us then, but thatâs no matter - tomorrow we will run faster, stretch out our arms farther. . .  ",it elude u then but thats no matter tomorrow we will run faster stretch out our arm farther
463,"For some, this was the face of the 'Great Depression' ...... ...  pic.twitter.com/duwwvhCKyP",for some this be the face of the great depression
464,something epic  out of a sense of  Sort of a desperation Through that desperation we feel we have nothing to lose,something epic out of a sense of sort of a desperation through that desperation we feel we have nothing to lose
465,As of August 21- this is the Album of the Year. No question/without a doubt.   pic.twitter.com/xvpQPQqvxw,a of august this be the album of the year no questionwithout a doubt
466,"When you living with someone that is manic depressed, life stops   ???????",when you live with someone that be manic depressed life stop
467,"If you haven't listened to  with the new album , maybe you shouldn't, it might break you.",if you havent listen to with the new album maybe you shouldnt it might break you
468,the look of  on their face is killing me....,the look of on their face be kill me
469,?´????© ?£?? ?¹?´?§? ????.  vs ,v
470,Iâm so stressed and frustrated right now.  Iâm not about this.  ,im so stressed and frustrated right now im not about this
471,Basically his death shows the entire parole system to be a farce.    pic.twitter.com/SbtCKY0IXO,basically his death show the entire parole system to be a farce
472,The  in the NPP is deeply rooted because of Nana Addo's divide and rule style of slave 'mastership',the in the npp be deeply root because of nana addos divide and rule style of slave mastership
473,This is ANOHNI. She has released  an album that transcends space and time. The best album ever.  pic.twitter.com/th6CRB1sFR,this be anohni she have release an album that transcend space and time the best album ever
474,Very happy to see anohni make the very nice  nominated list! That's where I'm putting my vote... ,very happy to see anohni make the very nice nominated list thats where im put my vote
475,Many people told me so far to stop and give up because there is nearly zero hope. I can't wait to see how it ends.  vs ,many people tell me so far to stop and give up because there be nearly zero hope i cant wait to see how it end vs
476,Is today YOUR day?  to choose happiness + success over  + failure  pic.twitter.com/jp1pghgs8H,be today your day to choose happiness success over failure
477,Still wondering if SyFy can have a theme song for ?   pic.twitter.com/E7li3gwIfU,still wonder if syfy can have a theme song for
478,How did I become a virus? Awareness listening the great music by  ,how do i become a virus awareness listen the great music by
479,"If all the lights in the world were turned on, I'd still be shrouded in darkness   ",if all the light in the world be turn on id still be shroud in darkness
480,being all sweet and nice to a guy then realizing how he never really deserved any of it ????½ story of my life ,be all sweet and nice to a guy then realize how he never really deserved any of it story of my life
481,"The Gateway to Freedom Kit when you need the tools to break  from ,  and keep going. pic.twitter.com/WtML2wyu7y",the gateway to freedom kit when you need the tool to break from and keep go
482,I <3 this @ANOHNItweets LP so so much ,i 3 this lp so so much
483,friends frm abroad today: why r u so serious.All changed ...                   Me: Is there anything to celebrate ?  ,friend frm abroad today why r You so seriousall change me be there anything to celebrate
484,Can't stop listening to the  album  so beautiful  pic.twitter.com/NoKZ0e1Hlp,cant stop listening to the album so beautiful
485,We need a newspaper/channel that shows only positive n inspirational stories.This period of  is awful why  album is apt,we need a newspaperchannel that show only positive n inspirational storiesthis period of be awful why album be apt
486,Is it today? It can be!  to choose happiness + success over  + failure  pic.twitter.com/g48kuK2vEo,be it today it can be to choose happiness success over failure
487,"This  album is beautiful but lyrically creepy, in a good way. ",this album be beautiful but lyrically creepy in a good way
488,trying to promote your video to a youtuber over 100k is simply pointless  ,try to promote your video to a youtuber over k be simply pointless
489,Hopelessness is the enemy of .  prevails where  persists. â Bryan Stevenson,hopelessness be the enemy of prevails where persists bryan stevenson
490,@ANOHNItweets completely brilliant performance - so moving and honest  ,completely brilliant performance so moving and honest
491,"Perhaps she's the ghosts of past, present & future, all rolled into one. But then there might be hope, & I'm not sure there is ",perhaps shes the ghost of past present future all roll into one but then there might be hope im not sure there be
492,ANOHNI asks basic questions of your soul and strips you bare. AND the music and visuals are incredible.   Fucking hell.  ,anohni ask basic question of your soul and strip you bare and the music and visuals be incredible fucking hell
493,At last something honest and noble   utterly despairing but somehow full of hope,at last something honest and noble utterly despairing but somehow full of hope
494,Superb artistic performance  at  What a voice !!! ,superb artistic performance at what a voice
495,DA NEW YR ALONE I AM  BCAUSE OF WAT HAPPENED 2ME ND NOW YA'LL WANA MAKE MY  WORSE!?!I'VE TRIED MY BEST 2GIVE CHANCES I_,da new yr alone i be bcause of wat happen me nd now yall wana make my worseive tried my best give chance i
496,Let me just sit here and wallow in self pity ,let me just sit here and wallow in self pity
497,When you ask for a triple chocolate melt down and the waiter tells you no...  ,when you ask for a triple chocolate melt down and the waiter tell you no
498,"First breakdown at work ),: more to come ill bet money on it ",first breakdown at work more to come ill bet money on it
499,I DONT wanna cry or feel sorry for myself. Its just so hard sometimes watching your sick son in the hospital day after day.  ,i dont wanna cry or feel sorry for myself it just so hard sometimes watch your sick son in the hospital day after day
500,Bought a lottery ticket again for tonight in the hope I'll win enough to escape Saturday til Monday to clear my head a bit  ,buy a lottery ticket again for tonight in the hope ill win enough to escape saturday til monday to clear my head a bit
501,"I hate it when someone says, ""Why are you ? You have nothing to be depressed about?"" It's chemical! I  can't help it!! ",i hate it when someone say why be you you have nothing to be depress about it chemical i cant help it
502,Really wish the gym wasnt closed tomorrow ... ,really wish the gym wasnt close tomorrow
503,50 ppl are in this house trying to use wifi. ,ppl be in this house try to use wifi
504,Working New Year's Eve ???? Not going to Newcastle tomorrow ???§ ,work new year eve not go to newcastle tomorrow
505,Fuck surgery. Fuck laying here watching days pass. I'll just sleep through New Year's Eve. ,fuck surgery fuck lay here watch day pas ill just sleep through new year eve
506,"I'm sinking so fast, I don't even know where to start to save myself.  ",im sink so fast i dont even know where to start to save myself
507," or ? National  Prevention Lifeline offers help, 24/7. 1-800-273-TALK (8255)",or national prevention lifeline offer help 7 800273talk 8255
508,"Its the 31.12.14, 22:34  in South Africa right now & I am literally alone on New Years Eve. Literally.   ",it the 34 in south africa right now i be literally alone on new year eve literally
509,Wanted a sweater but promised I wouldn't buy one for the rest of this month ,want a sweater but promise i wouldnt buy one for the rest of this month
510,"For the first time in quite a while, I don't think I've even seen enough movies to make kshock's top 10 films of the year.  ???",for the first time in quite a while i dont think ive even see enough movie to make kshocks top film of the year
511,Closing New Years Eve and opening New Years Day.. ,close new year eve and open new year day
512," and . Not , just disappointed",and not just disappointed
513,"Well that's that, seeing my way out of this shitty yr,with a shitty night in bed,feel ill still and miserable... ???°???°???°???©",well thats that see my way out of this shitty yrwith a shitty night in bedfeel ill still and miserable
514,"RT KatelynTiffner:  because I had a dream ralligatorrr & I were on springbreak in cancun, woke up and realized I was still in O...",katelyntiffner because i have a dream ralligatorrr i be on springbreak in cancun wake up and realize i be still in o
515,I feel so mentally tortured right now. Dunno what to do  &  Feel completely out of control.,i feel so mentally tortured right now dunno what to do feel completely out of control
516,Leaving in 2 days    ???????­???­???­???­???­???­???­???­???­???­,leave in day
517,Not making any plans to go out tonight is already proving to be a regrettable decision...  ,not make any plan to go out tonight be already prove to be a regrettable decision
518,"Hope everyone has a good New Years tonight, coz mines gonna be shit!   ",hope everyone have a good new year tonight coz mine gonna be shit
519,Super depressed for no reason! Yaayyy. Screw my life lol   ,super depress for no reason yaayyy screw my life Laughing Out Loud
520,little miss Debbie downer over here.,little miss debbie downer over here
521,Can't believe I'm missing my favourite night ?? ,cant believe im miss my favourite night
522,"Last year I was at the bar all night, getting free drinks, and making out with a stripper. This year I'll be in bed by 9:30. ",last year i be at the bar all night get free drink and make out with a stripper this year ill be in bed by 30
523,Why can't I go Super Saiyan? ,why cant i go super saiyan
524,Happy new year to everyone and all the best for 2015  ,happy new year to everyone and all the best for
525,trying to get over that i worked boxing night and am working tonight.. oh and im starting to get the flu.. ,try to get over that i work box night and be work tonight oh and im start to get the flu
526,Just finished the last episode of New Girl ???³ what am I supposed to do now? ,just finish the last episode of new girl what be i suppose to do now
527,Just had my last appt with my nail lady before she leaves ???­???­ ,just have my last appt with my nail lady before she leave
528,@bcolonx what you leave me? I just came from DR to this!! ???­ ,what you leave me i just come from dr to this
529,I don't want this year to be over ,i dont want this year to be over
530,"Too ill and broke to go out tonight, so gunner sit in order fish and chips and watch it on the telly! ???³???­ ",too ill and break to go out tonight so gunner sit in order fish and chip and watch it on the telly
531,Have to work everyday for the rest of the year ,have to work everyday for the rest of the year
532,One of my best friends got engaged ????  ,one of my best friend get engage
533,Doing absolutely fuck all tonight :(  ,do absolutely fuck all tonight
534,As if my boss just text about work ?? I'm on holiday ,a if my bos just text about work im on holiday
535,"It has only dawned on me, browsing Instagram, how the rich people do winter... That's right, they migrate abroad...I'm not rich  ????",it have only dawn on me browse instagram how the rich people do winter thats right they migrate abroadim not rich
536,Can't believe I'm gonna end this year feeling like ??©.   ,cant believe im gonna end this year feeling like
537,"Today is just not a good day, looks like 2014 couldn't end without giving me a final kick in the ass ",today be just not a good day look like couldnt end without give me a final kick in the as
538,"Its been 14 years of journey, I never expect you'll go from this earth today pet's! â feeling depressed",it be year of journey i never expect youll go from this earth today pet feel depress
539,???¢ need to book a holiday asap   pic.twitter.com/gRBEuV5aIX,need to book a holiday As Soon As Possible
540,3 hours of sleep in the 3 days? I'm dieing  ,hour of sleep in the day im die
541,"If I did not have to work, I would lay in bed all and talk to no one. ",if i do not have to work i would lay in bed all and talk to no one
542,"It was all good  I was enjoying Tv Until out of nowhere ""I used that R200 to arrange the funeral"" appeared ",it be all good i be enjoy tv until out of nowhere i use that r200 to arrange the funeral appear
543,i finished parks & rec twice now  :( ,i finish park rec twice now
544,This has simply been the hardest week n a half of my life. Gotta keep pushing thru. Only 5 more days til I get some answers. ,this have simply be the hard week n a half of my life gotta keep push thru only more day til i get some answer
545,I appreciate the 8 day paid vacation from my job but...i still don't want to return. I feel like quitting but I can't. ,i appreciate the day pay vacation from my job buti still dont want to return i feel like quit but i cant
546,I'm actually crying because I don't want to return to work on Friday. ,im actually cry because i dont want to return to work on friday
547,Alright Charlie St. Cloud you've done it again... Next the fault in your stars or garden state... Maybe the notebook? ,alright charlie st cloud youve do it again next the fault in your star or garden state maybe the notebook
548,why doesn't ally have a twitter  ,why doesnt ally have a twitter
549,Why did I have to run into the one person in thos world I don't wanna see today? I just want my peace! ,why do i have to run into the one person in thos world i dont wanna see today i just want my peace
550,"Almost killed myself, God... -.-   ",almost kill myself god
551,"I made this account so that I wouldn't be judged by the people I know. Cause if I don't like me, why would anyone else? ",i make this account so that i wouldnt be judge by the people i know cause if i dont like me why would anyone else
552,"It hurts to know I'm practically invisible to you now, that I'm more of a bother to you then anything else.  ",it hurt to know im practically invisible to you now that im more of a bother to you then anything else
553,When you already have everything.. and you still feel lonely.. feeling  ..,when you already have everything and you still feel lonely feel
554,I was unaware this is how this was gonna be  ,i be unaware this be how this be gonna be
555,Just finished Weeds. My life no longer has purpose. ,just finish weed my life no longer have purpose
556,Never tell a blonde that her hair is slowly fading to brown ,never tell a blonde that her hair be slowly fading to brown
557,The day when I don't fuck up anymore is the day I will be successful.... ,the day when i dont fuck up anymore be the day i will be successful
558,"I don't have any new years resolutions, just a prayer that something will take my life this year   ",i dont have any new year resolution just a prayer that something will take my life this year
559,"Heard Willy Nelson singing The Scientist and thought, ""So THIS is the original!"" Then discovered he was just covering Coldplay. ",heard willy nelson sing the scientist and think so this be the original then discover he be just cover coldplay
560,If I stay got me feeling some type of way  ???­???­???­??,if i stay get me feel some type of way
561,How many suicides does it take for people to realize that what you say fucking mattersâï¸ ?  ... pic.twitter.com/6JC0QDAYGW,how many suicide do it take for people to realize that what you say fuck matter
562,My last day of cheating on my diet and exercise routine is tomorrow   ,my last day of cheat on my diet and exercise routine be tomorrow
563,Nooooo  will crack the 10 point mark in the 4th quarter ,nooooo will crack the point mark in the th quarter
564,This weekend is the end of bow hunting season. ,this weekend be the end of bow hunting season
565,Im not really sad... I just feel empty... ,im not really sad i just feel empty
566,Just gunna sit here and chew til my gums bleed.. ,just gunna sit here and chew til my gum bleed
567,One day everything will end. It is inevitable but for the love of god why did it have to be my quesarito from taco bell ,one day everything will end it be inevitable but for the love of god why do it have to be my quesarito from taco bell
568,"give up on wow , carnt play my mage and carnt even pay to change its class so im stuck with a lvl 100 mage :( ",give up on wow carnt play my mage and carnt even pay to change it class so im stuck with a lvl mage
569,"do you feel  ?  ?  ? direct message me, i would love to interact with you guys ??????",do you feel direct message me i would love to interact with you guy
570,So upset about not being able to pay for tickets myself :( really want to see the lion king again!!!!! ,so upset about not be able to pay for ticket myself really want to see the lion king again
571,Ugh my arm still hurts!! I just want this to be over and to get back to my life.   ,ugh my arm still hurt i just want this to be over and to get back to my life
572,Wait... I can't believe I've  manga in hiatus  since +/- 2010.... ,wait i cant believe ive manga in hiatus since
573,@D_Oliver10 oh I'm regretting it now ,oh im regret it now
574,'s . Someone destroyed her . Who could have done such an awful thing? pic.twitter.com/L5ubpQp3QK,s someone destroy her who could have do such an awful thing
575,Well after inviting everyone... No one is coming.... ,well after invite everyone no one be come
576,Sucks when your alone in a big world :( ,suck when your alone in a big world
577,my whole day was spent in my p-jays  its now 6 o'clock and only now do i have to get dressed ,my whole day be spend in my pjays it now oclock and only now do i have to get dressed
578,I really did not give Notre Dame a chance in this game.  ,i really do not give notre dame a chance in this game
579,"Im so glad you can look at me and say Im ignorant, stuiped, and worthless. Its not like I wanted love and support from my mother ",im so glad you can look at me and say im ignorant stuiped and worthless it not like i want love and support from my mother
580,And I'm starting to break down;    pic.twitter.com/0Nk3TChkQq,and im start to break down
581,Do you ever wanna cry in a corner hoping the day goes by faster?... no? Just me? ??????¢???³???­ OK   ,do you ever wanna cry in a corner hop the day go by fast no just me ok
582,"I went all my way out from the Vaal to Jozi to submit application forms for a post that closed 11 months ago, I feel stupid, ",i go all my way out from the vaal to jozi to submit application form for a post that close month ago i feel stupid
583,When you feel like shit and have no one to vent too   ,when you feel like shit and have no one to vent too
584,How could Riv close ???© what am I going to do now ,how could riv close what be i go to do now
585,I just want my space and my life ????   ,i just want my space and my life
586,Just the thought of going back to school  brings tears to me eyes ,just the thought of go back to school brings tear to me eye
587,Today just isn't a good day for me. :( ,today just isnt a good day for me
588,Will start this new year as I did last one... Jobless and skint!   ,will start this new year a i do last one jobless and skint
589,Losing my uncle after the wedding its just....I dunno ,lose my uncle after the wed it justi dunno
590,".2/2 No chance, they all contain . Why not use a  flour? It would be so easy then most people can eat them. !",22 no chance they all contain why not use a flour it would be so easy then most people can eat them
591,All of the outside Christmas decorations are put away! ,all of the outside christmas decoration be put away
592,Just hoping that 2015 will be better. That would be great.   ,just hop that will be good that would be great
593,Wish I was in Las Vegas for New Years Eve! Alesso and Ingrosso are bringing the New Year in! Would love to see that!! ,wish i be in las vega for new year eve alesso and ingrosso be bring the new year in would love to see that
594,"Given the answers after it doesn't matter =   at the bottom, not a single Christian friend.  what now?",give the answer after it doesnt matter at the bottom not a single christian friend what now
595,ive comed to realize that im never gonna get 1/5  ,ive come to realize that im never gonna get 5
596,I just want soccer season baaaack???­???­???­ ,i just want soccer season baaaack
597,Laying in bed at 1 pm. Yesterday's therapy session hit me harder than I thought it would. ,lay in bed at pm yesterday therapy session hit me hard than i think it would
598,No one ever looks happy on a bus  ,no one ever look happy on a bus
599,Omg why does everything have to take so long?? If it's my call it should be quick. Just want my baby girl back. ,omg why do everything have to take so long if it my call it should be quick just want my baby girl back
600,Can I just stay in bed and do nothing? I'm not feeling life today...,can i just stay in bed and do nothing im not feel life today
601,i waz astounded by you my idol ms dhoni...when i came to know i m not going to see you in white jersey ..miss u....  you,i waz astound by you my idol m dhoniwhen i come to know i m not go to see you in white jersey miss You you
602,Really disappointed that I haven't been able to take my sled out yet this break ,really disappointed that i havent be able to take my sled out yet this break
603,Well that's the car handed back. ,well thats the car hand back
604,This month has had to be the worst month out of this year ,this month have have to be the bad month out of this year
605,after watching a movie  ???¥???,after watch a movie
606,"Looking for some beautiful images. Having a really crappy week, and need some support. . Post some great beauty.  Thank you.",look for some beautiful image have a really crappy week and need some support post some great beauty thank you
607,"When teens feel down, there are ways they can cope with these feelings to avoid serious , such as make new friends or social connections and participate in sports or school activities. Call Focus & Balance at 210-858-9980 to learn more and see how we can help.  pic.twitter.com/ydrYcTBD2r",when teen feel down there be way they can cope with these feeling to avoid serious such a make new friend or social connection and participate in sport or school activity call focus balance at 8589980 to learn more and see how we can help
608,"All up in my  feels, today... fuckkkk  pic.twitter.com/gNza4Pzn0p",all up in my feel today fuckkkk
609,A word that not many people understand. A word that many people fear.  A word that should be spoken about more freely. A word that shouldn't hold any shame.  A word with no jokey come backs.  DEPRESSION it's not a swear word.  It's ok not to be ok,a word that not many people understand a word that many people fear a word that should be speak about more freely a word that shouldnt hold any shame a word with no jokey come back depression it not a swear word it ok not to be ok
610,Why is my life so cruel?????,why be my life so cruel
611,only exists in a brain that ACCEPTS IT????  pic.twitter.com/bfLLvZRwmn,only exist in a brain that accept it
612,"when you care about someone and trying to help them, just hope they listen and keep positive thoughts. When theyre in depressed  wish I can help her. Talk with her make her smile",when you care about someone and try to help them just hope they listen and keep positive thought when theyre in depressed wish i can help her talk with her make her smile
613,Some thoughts on  about a month into my latest episode ????  pic.twitter.com/P6I7bMMBFc,some thought on about a month into my late episode
614,"If someone has the courage & trust to share their struggles of  or  ideation with you, PLEASE, please be there to listen & support  them! You may be the only person with whom they've been able to open up to. It's not easy to reach out!",if someone have the courage trust to share their struggle of or ideation with you please please be there to listen support them you may be the only person with whom theyve be able to open up to it not easy to reach out
615,"Always here, right? I'd like to see five of my friends post this message (Not share) to show u are always there if someone needs to talk. I think I know who will. ????  kills ????",always here right id like to see five of my friend post this message not share to show You be always there if someone need to talk i think i know who will kill
616,"???????????? ???? ???????????????????????????? ???? ???????? ?? ???????????????? ???? ?????? ?????? ??????????????, ?? ???? ?????? ?????? ?????? ??????. ",
617,Heal me????     pic.twitter.com/L8QPWAbvZO,heal me
618," & : Depression affects many older adults receiving home care, but often is not properly treated.  pic.twitter.com/pusuXIK4gp",depression affect many old adult receive home care but often be not properly treat
619,"Depression may carry a feeling of worthlessness in which you feel like you can't do anything. This only makes you feel worse about yourself and drags you into an even deeper state of . To push back, set small daily  for yourself that you can accomplish for sure! pic.twitter.com/VhC03lIbpW",depression may carry a feeling of worthlessness in which you feel like you cant do anything this only make you feel bad about yourself and drag you into an even deep state of to push back set small daily for yourself that you can accomplish for sure
620,"If youre feeling depressed know that your not alone. Know I see u, I hear u and I support you. Know that I am masters level trained therapist. Know that while its ok to pray its ok to seek Professional help too. Know that Black people men and women are not immune.   pic.twitter.com/91hb9sz8se",if youre feeling depress know that your not alone know i see You i hear You and i support you know that i be master level trained therapist know that while it ok to pray it ok to seek professional help too know that black people men and woman be not immune
621,My mom said she was going to take me to the hospital so I started freaking out. Threw up on the living room floor.  Not much the hospital can do for me so whats the point of going?,my mom say she be go to take me to the hospital so i start freak out throw up on the living room floor not much the hospital can do for me so whats the point of go
